Feature,Coefficient
NHOHCount,-0.6150627393286268
Chi3n,0.5792454777873459
fr_phenol_noOrthoHbond,0.5625061448213344
FpDensityMorgan1,0.5428413198708678
VSA_EState5,-0.5123688472043781
fr_ether,0.4889527848602615
fr_COO2,-0.4785421780467809
fr_COO,-0.4785421779672814
fr_Al_COO,-0.44058597264454313
Chi3v,0.428342805720753
NumAliphaticRings,-0.38005825061944876
MolLogP,0.36009722181542614
NumAliphaticHeterocycles,-0.30534710569424206
Kappa3,-0.27644594761137853
BCUT2D_MRHI,0.2762980510742713
fr_ester,0.27482930558869434
NumRotatableBonds,-0.27161463581192535
fr_Al_OH,-0.26813007707455494
fr_C_S,0.26243738685249696
fr_Ar_N,-0.24682595150731856
fr_aniline,0.24609149890384963
NumAliphaticCarbocycles,-0.2118127559425531
Chi1v,-0.20668268220885722
fr_sulfonamd,0.20538579473016227
qed,0.20051186723879844
fr_nitro_arom,-0.18672352345660848
fr_urea,-0.17869523567171441
BCUT2D_CHGLO,-0.17294090611989898
fr_ketone,0.16689892629432634
fr_sulfide,0.15665074867663265
BCUT2D_LOGPLOW,0.15492424806867522
MaxAbsPartialCharge,-0.1526962373718549
fr_imidazole,0.15250969693243377
fr_nitrile,-0.1502211591556062
BCUT2D_MWLOW,0.14571275847593304
SPS,-0.13268337021402934
fr_furan,0.1318757713973593
NumAromaticHeterocycles,0.13133734072083314
fr_Ar_COO,-0.1276598776477158
fr_morpholine,-0.1270231507173083
Chi2v,-0.1193041524457712
NumAtomStereoCenters,0.11774189575455374
fr_unbrch_alkane,0.11715787848377346
NumHeterocycles,-0.11404201288988958
BCUT2D_CHGHI,0.11286737181002901
BalabanJ,0.11165436064910139
BCUT2D_MWHI,-0.10844992670919257
BCUT2D_MRLOW,-0.10431200803948334
fr_ketone_Topliss,0.10246285708019087
FractionCSP3,0.10230747374850324
fr_imide,-0.10060880860905996
fr_piperdine,-0.09887823554533881
fr_bicyclic,-0.09451320468919988
NumUnspecifiedAtomStereoCenters,0.09340384500248078
fr_aryl_methyl,0.09232801613497088
fr_oxime,0.09164941819509664
fr_sulfone,-0.08485013184377976
MinAbsPartialCharge,0.08390632779419824
fr_guanido,0.07994811380657296
fr_thiazole,0.07890920785250444
fr_nitro,0.07616591954193552
MinEStateIndex,0.07442078506013551
fr_thiophene,0.07238301886098775
NumBridgeheadAtoms,0.07120039340432172
MaxPartialCharge,-0.0692665939020817
fr_nitro_arom_nonortho,0.0686876942403245
fr_methoxy,0.06361935420691722
NumSaturatedCarbocycles,0.06355741555497474
fr_pyridine,-0.0635365972113604
AvgIpc,-0.06298521192064385
fr_amidine,0.06279911750947598
BCUT2D_LOGPHI,0.06267571596776211
Ipc,0.05002312340066872
fr_hdrzone,0.04735711489942673
