Feature,Importance
PEOE_VSA6,0.004037170659493905
EState_VSA2,0.004004737515879608
SlogP_VSA2,0.003920026393358852
Kappa3,0.0039066731400283685
FpDensityMorgan1,0.003899102441664663
EState_VSA1,0.0038616115588159367
SMR_VSA7,0.003856369869455954
Chi2n,0.003812306424287077
MaxPartialCharge,0.003803279656387177
qed,0.0036630704531312487
MinAbsPartialCharge,0.003647224569096764
VSA_EState2,0.0035715848912914656
Chi3v,0.003408876357572971
NumUnspecifiedAtomStereoCenters,0.00333293339228754
SlogP_VSA4,0.0033071325636312102
EState_VSA9,0.003294115782295581
SlogP_VSA6,0.003180740915380871
EState_VSA7,0.0031722227970655188
SMR_VSA6,0.003161473716721175
SMR_VSA9,0.0030418971857797367
MolMR,0.0030172314894253384
Chi3n,0.0029581014094648165
fr_aniline,0.0029578176669409805
FractionCSP3,0.0029547376986212327
PEOE_VSA2,0.002923119485863423
Phi,0.002874062431326896
HallKierAlpha,0.002653778992309252
NumAliphaticHeterocycles,0.002634996794107945
Kappa2,0.002559073329391601
EState_VSA8,0.002534629714343059
PEOE_VSA1,0.002524013425210089
SlogP_VSA1,0.002480855070156975
Chi2v,0.00236717803739675
fr_halogen,0.0023507101487803385
EState_VSA10,0.002283015690527282
PEOE_VSA11,0.0021615710920415954
fr_Ar_N,0.002148192857412504
fr_NH1,0.002100033529658894
RingCount,0.0018453295692963995
SMR_VSA4,0.0017919930429074256
NumAliphaticCarbocycles,0.0017855559984937424
PEOE_VSA13,0.001714997356790455
NumAmideBonds,0.0017127736013411632
SMR_VSA1,0.0014977450015128413
PEOE_VSA4,0.0013860489547146216
fr_amide,0.001373613355602784
fr_C_O_noCOO,0.001267365901006995
NumHAcceptors,0.0012599316334122564
Chi1v,0.0012503406918942628
Chi0v,0.0012456348345066875
HeavyAtomMolWt,0.0011212790952194141
Chi1,0.0011079121341701515
NumHeterocycles,0.001103442888691067
NumSaturatedHeterocycles,0.001046784066956012
LabuteASA,0.0010357901653765189
Kappa1,0.0010191812882674436
NumHeteroatoms,0.0010110802644880583
fr_C_S,0.0009897031820613876
NumSaturatedRings,0.0009854597091013067
NHOHCount,0.0009784548651863073
Chi1n,0.0009772559717150056
fr_Imine,0.0009771370920499118
Chi0,0.0009584622077504901
NumAromaticRings,0.0009227352097039337
fr_Nhpyrrole,0.0009041948905082638
SlogP_VSA12,0.0009037415302143603
fr_urea,0.0009017591253346463
fr_Ar_NH,0.0008934289743877165
MolWt,0.0008736691498000225
PEOE_VSA14,0.0008666203931238328
Chi0n,0.0008317676716385959
ExactMolWt,0.0008310210913990458
fr_allylic_oxid,0.000761413923956719
fr_isothiocyan,0.0007086738950341192
fr_imidazole,0.0006477134007418782
NumAliphaticRings,0.0006206108516570336
PEOE_VSA5,0.0005600279867006199
SlogP_VSA11,0.0005425867945425067
NumHDonors,0.0004954735606601371
fr_ether,0.0004893064828108161
fr_aryl_methyl,0.0004819945936588872
fr_imide,0.0004784002277162042
fr_para_hydroxylation,0.0004614672801078394
NOCount,0.0004267172231639626
fr_C_O,0.00042151288458045606
HeavyAtomCount,0.0004094208074987282
NumSaturatedCarbocycles,0.0004072626426194614
fr_unbrch_alkane,0.00037993891176441426
fr_priamide,0.00037549635587781253
fr_alkyl_halide,0.0003436450771156929
fr_Ndealkylation2,0.000300929807479139
fr_nitrile,0.0002536331626848374
fr_methoxy,0.0002442471328116181
EState_VSA11,0.0002442079637689483
NumValenceElectrons,0.00023577916250782676
fr_benzene,0.00023346915714926708
NumAromaticCarbocycles,0.00023330078335062954
fr_NH2,0.00020290066236168416
fr_piperdine,0.00019798312157272107
fr_Ndealkylation1,0.00018937738572626217
fr_Al_COO,0.00017239501499682363
fr_Al_OH,0.00016256290278639357
NumBridgeheadAtoms,0.00016197607070404395
fr_Ar_COO,0.00015695893782293247
fr_COO2,0.00015567948086117383
fr_sulfide,0.00014451522174729756
fr_Al_OH_noTert,0.0001426413011544563
fr_COO,0.0001404855155654131
fr_piperzine,0.00013596059997171775
fr_nitro_arom,0.00012473491280045956
fr_morpholine,0.00011329607592462815
SMR_VSA2,0.00011283094421594624
fr_nitro_arom_nonortho,0.00011247923392729455
fr_amidine,0.00010215995784293761
fr_sulfone,9.82190585132031e-05
fr_thiazole,9.786184770692891e-05
fr_HOCCN,9.467072728838236e-05
fr_oxime,8.606147922268526e-05
fr_ester,6.815413902056246e-05
fr_hdrzone,6.388809442799698e-05
fr_phenol,6.2744171409839e-05
fr_thiophene,6.194390394029292e-05
fr_sulfonamd,5.369969782365275e-05
fr_alkyl_carbamate,5.214159204375886e-05
fr_Ar_OH,4.6592130930334985e-05
fr_ketone,4.409504760941171e-05
fr_nitro,3.118846286504751e-05
fr_phenol_noOrthoHbond,2.3965743292913315e-05
fr_tetrazole,2.218600110534397e-05
fr_furan,1.4582514840257488e-05
fr_ArN,1.2307470523898565e-05
fr_ketone_Topliss,1.1472821938345971e-05
NumSpiroAtoms,1.0280045619502265e-05
fr_SH,1.0001209191481123e-05
