CID,MW,XLogP3,HBDC,HDAC,RBC,ExactMass,MonoMass,TPSA,HAC,Charge,Complexity,IsotopeAtoms,DASC,UASC,DBSC,UBSC,CBU,chembl_id,ic50_value,log_ic50,target_chembl_id,target_name
117656711,432.3,4.6,1,3,6,431.105499,431.105499,57.6,29,0,603.0,0,2,1,0,0,1,CHEMBL3905949,320.0,2.505149978319906,CHEMBL1907611,Tumour suppressor p53/oncoprotein Mdm2
90058343,502.0,2.9,0,5,5,501.1567673,501.1567673,80.6,36,0,951.0,0,0,1,0,0,1,CHEMBL3923259,3916.8,3.5929313961294485,CHEMBL1907611,Tumour suppressor p53/oncoprotein Mdm2
45483702,496.4,5.1,0,5,2,495.06947,495.06947,67.0,33,0,809.0,0,0,2,0,0,1,CHEMBL568499,5840.0,3.7664128471123997,CHEMBL1907611,Tumour suppressor p53/oncoprotein Mdm2
25227848,466.9,4.4,1,5,8,466.1295495,466.1295495,95.6,33,0,672.0,0,0,1,0,0,1,CHEMBL1688260,360.0,2.5563025007672873,CHEMBL5023,p53-binding protein Mdm-2
122194678,498.6,4.2,2,8,8,498.09192877,498.09192877,128.0,34,0,797.0,0,0,0,0,0,1,CHEMBL3632699,630.0,2.7993405494535817,CHEMBL3038498,Keap1/Nrf2
124221549,623.5,5.6,1,9,10,622.1282831,622.1282831,103.0,40,0,1000.0,0,3,1,0,0,1,CHEMBL3961625,2.0,0.3010299956639812,CHEMBL1907611,Tumour suppressor p53/oncoprotein Mdm2
2333,424.1,5.7,1,3,3,423.91327,421.91532,50.4,22,0,405.0,0,0,0,0,0,1,CHEMBL388590,16.0,1.2041199826559248,CHEMBL3397,Cytochrome P450 2C9
155510853,253.4,3.4,0,4,6,253.05950645,253.05950645,80.7,16,0,274.0,0,0,1,0,0,1,CHEMBL4434840,25118.86,4.399999925393822,CHEMBL612545,Unchecked
44176176,679.4,5.0,1,5,7,678.06614,678.06614,79.1,39,0,841.0,0,1,0,0,0,1,CHEMBL380178,3600.0,3.5563025007672873,CHEMBL5023,p53-binding protein Mdm-2
3524797,482.5,3.1,0,6,6,482.15901982,482.15901982,105.0,36,0,1150.0,0,0,0,0,0,1,CHEMBL3192906,13100.0,4.117271295655764,CHEMBL2093862,Runt-related transcription factor 1/Core-binding factor subunit beta
154584167,521.5,4.7,2,9,10,521.11443787,521.11443787,139.0,37,0,875.0,0,0,1,0,0,1,CHEMBL4760635,2280.0,3.357934847000454,CHEMBL3038498,Keap1/Nrf2
56950566,349.4,2.3,2,6,4,349.14601278,349.14601278,92.6,24,0,522.0,0,0,1,0,0,1,CHEMBL2181713,8400.0,3.9242792860618816,CHEMBL1795186,Bromodomain-containing protein 3
90058276,576.5,6.4,0,3,6,575.1742472,575.1742472,54.8,40,0,910.0,0,1,0,0,0,1,CHEMBL4107315,620.83,2.792972694911955,CHEMBL1907611,Tumour suppressor p53/oncoprotein Mdm2
172468432,439.5,4.3,1,7,5,439.17074793,439.17074793,71.0,32,0,754.0,0,0,1,0,0,1,CHEMBL5435031,3830.0,3.583198773968623,CHEMBL5465553,WDR5-MYC
44570040,556.7,6.1,0,4,7,556.2474409,556.2474409,67.7,42,0,885.0,0,1,0,0,0,1,CHEMBL501871,160.0,2.2041199826559246,CHEMBL4860,Apoptosis regulator Bcl-2
141755768,377.8,2.5,2,8,4,377.1367006,377.1367006,116.0,26,0,472.0,0,0,0,0,0,1,CHEMBL5085009,38100.0,4.580924975675619,CHEMBL3883320,Histone-lysine N-methyltransferase 2A/WDR5
162674124,1252.4,-2.1,15,15,24,1251.65127583,1251.65127583,472.0,90,0,2630.0,0,11,1,1,0,1,CHEMBL4795988,649.0,2.812244696800369,CHEMBL2093861,Menin/Histone-lysine N-methyltransferase MLL
662970,252.31,3.0,0,3,0,252.137496527,252.137496527,43.1,19,0,347.0,0,0,0,0,0,1,CHEMBL1350376,36800.0,4.565847818673518,CHEMBL2093862,Runt-related transcription factor 1/Core-binding factor subunit beta
53236857,583.5,5.0,4,5,6,582.1600743,582.1600743,113.0,40,0,986.0,0,4,0,0,0,1,CHEMBL3310185,5.0,0.6989700043360189,CHEMBL1907611,Tumour suppressor p53/oncoprotein Mdm2
90016040,568.4,4.3,0,6,6,567.1440097,567.1440097,89.8,39,0,1020.0,0,1,0,0,0,1,CHEMBL3915879,0.144,-0.8416375079047503,CHEMBL1907611,Tumour suppressor p53/oncoprotein Mdm2
60169705,864.5,10.3,2,10,15,863.3054231,863.3054231,152.0,60,0,1420.0,0,1,0,0,0,1,CHEMBL2159738,11.0,1.0413926851582251,CHEMBL4625,Apoptosis regulator Bcl-X
