chembl_id,ic50_value,units,pchembl_value,target_chembl_id,target_name,assay_chembl_id,activity_comment
CHEMBL557628,71.2,nM,7.15,CHEMBL1949,Cyclophilin A,CHEMBL1056315,
CHEMBL559525,1.52,nM,8.82,CHEMBL1949,Cyclophilin A,CHEMBL1056315,
CHEMBL559858,31.6,nM,7.5,CHEMBL1949,Cyclophilin A,CHEMBL1056315,
CHEMBL560115,12.1,nM,7.92,CHEMBL1949,Cyclophilin A,CHEMBL1056315,
CHEMBL560173,103,nM,6.99,CHEMBL1949,Cyclophilin A,CHEMBL1056315,
CHEMBL560850,364,nM,6.44,CHEMBL1949,Cyclophilin A,CHEMBL1056315,
CHEMBL560851,2.59,nM,8.59,CHEMBL1949,Cyclophilin A,CHEMBL1056315,
CHEMBL1348295,77000,nM,4.11,CHEMBL1615381,Menin,CHEMBL3130541,
CHEMBL1438422,12800,nM,4.89,CHEMBL1615381,Menin,CHEMBL3130541,
CHEMBL1747,6.2,nM,8.21,CHEMBL612545,Unchecked,CHEMBL3858190,
CHEMBL2314568,194,nM,6.71,CHEMBL1615381,Menin,CHEMBL2320318,
CHEMBL2314569,102,nM,6.99,CHEMBL1615381,Menin,CHEMBL2320318,
CHEMBL2314570,6320,nM,5.2,CHEMBL1615381,Menin,CHEMBL2320318,
CHEMBL2314571,3330,nM,5.48,CHEMBL1615381,Menin,CHEMBL2320318,
CHEMBL2314572,112,nM,6.95,CHEMBL1615381,Menin,CHEMBL2320318,
CHEMBL2314573,159,nM,6.8,CHEMBL1615381,Menin,CHEMBL2320318,
CHEMBL2314574,2010,nM,5.7,CHEMBL1615381,Menin,CHEMBL2320318,
CHEMBL2314575,1150,nM,5.94,CHEMBL1615381,Menin,CHEMBL2320318,
CHEMBL2314576,2520,nM,5.6,CHEMBL1615381,Menin,CHEMBL2320318,
CHEMBL2314813,4610,nM,5.34,CHEMBL1615381,Menin,CHEMBL2320318,
CHEMBL2314814,36000,nM,4.44,CHEMBL1615381,Menin,CHEMBL2320318,
CHEMBL2314815,39400,nM,4.41,CHEMBL1615381,Menin,CHEMBL2320318,
CHEMBL2314816,25.1,nM,7.6,CHEMBL1615381,Menin,CHEMBL2320318,
CHEMBL2314817,102,nM,6.99,CHEMBL1615381,Menin,CHEMBL2320318,
CHEMBL2314818,422,nM,6.38,CHEMBL1615381,Menin,CHEMBL2320318,
CHEMBL2314819,18.5,nM,7.73,CHEMBL1615381,Menin,CHEMBL2320318,
CHEMBL2315084,665,nM,6.18,CHEMBL1615381,Menin,CHEMBL2320318,
CHEMBL2315085,2160,nM,5.67,CHEMBL1615381,Menin,CHEMBL2320318,
CHEMBL2315086,6450,nM,5.19,CHEMBL1615381,Menin,CHEMBL2320318,
CHEMBL2315087,226,nM,6.65,CHEMBL1615381,Menin,CHEMBL2320318,
CHEMBL2315088,10700,nM,4.97,CHEMBL1615381,Menin,CHEMBL2320318,
CHEMBL2325183,480,nM,6.32,CHEMBL5891,Protein arginine N-methyltransferase 3,CHEMBL2330282,
CHEMBL2349526,77,nM,7.11,CHEMBL1795117,Histone-lysine N-methyltransferase,,
CHEMBL3124953,529,nM,6.28,CHEMBL1615381,Menin,CHEMBL3130541,
CHEMBL3126181,15300,nM,4.82,CHEMBL1615381,Menin,CHEMBL3130541,
CHEMBL3126182,11200,nM,4.95,CHEMBL1615381,Menin,CHEMBL3130541,
CHEMBL3126183,4100,nM,5.39,CHEMBL1615381,Menin,CHEMBL3130541,
CHEMBL3126184,4000,nM,5.4,CHEMBL1615381,Menin,CHEMBL3130541,
CHEMBL3126185,390,nM,6.41,CHEMBL1615381,Menin,CHEMBL3130541,
CHEMBL3126186,1700,nM,5.77,CHEMBL1615381,Menin,CHEMBL3130541,
CHEMBL3126187,270,nM,6.57,CHEMBL1615381,Menin,CHEMBL3130541,
CHEMBL3126188,197,nM,6.71,CHEMBL1615381,Menin,CHEMBL3130541,
CHEMBL3126189,436,nM,6.36,CHEMBL1615381,Menin,CHEMBL3130541,
CHEMBL3126190,226,nM,6.65,CHEMBL1615381,Menin,CHEMBL3130541,
CHEMBL3126191,302,nM,6.52,CHEMBL1615381,Menin,CHEMBL3130541,
CHEMBL3126192,242,nM,6.62,CHEMBL1615381,Menin,CHEMBL3130541,
CHEMBL3126193,225,nM,6.65,CHEMBL1615381,Menin,CHEMBL3130541,
CHEMBL3126194,90,nM,7.05,CHEMBL1615381,Menin,CHEMBL3130541,
CHEMBL3126195,1400,nM,5.85,CHEMBL1615381,Menin,CHEMBL3130541,
CHEMBL3126196,67,nM,7.17,CHEMBL1615381,Menin,CHEMBL3130541,
CHEMBL3126197,81,nM,7.09,CHEMBL1615381,Menin,CHEMBL3130541,
CHEMBL3126198,56,nM,7.25,CHEMBL1615381,Menin,CHEMBL3130541,
CHEMBL3126199,114,nM,6.94,CHEMBL1615381,Menin,CHEMBL3130541,
CHEMBL3126200,148,nM,6.83,CHEMBL1615381,Menin,CHEMBL3130541,
CHEMBL3126201,195,nM,6.71,CHEMBL1615381,Menin,CHEMBL3130541,
CHEMBL3126202,10800,nM,4.97,CHEMBL1615381,Menin,CHEMBL3130541,
CHEMBL1271764,362,nM,6.44,CHEMBL1293239,Bcl-2-related protein A1,CHEMBL1614363,Active
CHEMBL1271993,450,nM,6.35,CHEMBL6044,Bcl-2-related protein A1,CHEMBL1273077,
CHEMBL1334552,5830,nM,5.23,CHEMBL1293239,Bcl-2-related protein A1,CHEMBL1614311,Active
CHEMBL1414442,1520,nM,5.82,CHEMBL1293239,Bcl-2-related protein A1,CHEMBL1614311,Active
CHEMBL1497208,17850,nM,4.75,CHEMBL2034807,DNA repair protein RAD51 homolog 1,CHEMBL2319671,
CHEMBL1567670,3200,nM,5.5,CHEMBL1741200,Putative hexokinase HKDC1,CHEMBL1738579,Active
CHEMBL2316719,15620,nM,4.81,CHEMBL2034807,DNA repair protein RAD51 homolog 1,CHEMBL2319671,
CHEMBL2316720,2140,nM,5.67,CHEMBL2034807,DNA repair protein RAD51 homolog 1,CHEMBL2319671,
CHEMBL2316721,1400,nM,5.85,CHEMBL2034807,DNA repair protein RAD51 homolog 1,CHEMBL2319671,
CHEMBL2316722,930,nM,6.03,CHEMBL2034807,DNA repair protein RAD51 homolog 1,CHEMBL2319671,
CHEMBL2316723,810,nM,6.09,CHEMBL2034807,DNA repair protein RAD51 homolog 1,CHEMBL2319671,
CHEMBL2316724,370,nM,6.43,CHEMBL2034807,DNA repair protein RAD51 homolog 1,CHEMBL2319671,
CHEMBL2316725,250,nM,6.6,CHEMBL2034807,DNA repair protein RAD51 homolog 1,CHEMBL2319671,
CHEMBL2316726,44170,nM,4.36,CHEMBL2034807,DNA repair protein RAD51 homolog 1,CHEMBL2319671,
CHEMBL2316733,38170,nM,4.42,CHEMBL2034807,DNA repair protein RAD51 homolog 1,CHEMBL2319671,
CHEMBL2316734,13160,nM,4.88,CHEMBL2034807,DNA repair protein RAD51 homolog 1,CHEMBL2319671,
CHEMBL2316735,8320,nM,5.08,CHEMBL2034807,DNA repair protein RAD51 homolog 1,CHEMBL2319671,
CHEMBL2316736,7910,nM,5.1,CHEMBL2034807,DNA repair protein RAD51 homolog 1,CHEMBL2319671,
CHEMBL2316737,9940,nM,5,CHEMBL2034807,DNA repair protein RAD51 homolog 1,CHEMBL2319671,
CHEMBL2316738,3100,nM,5.51,CHEMBL2034807,DNA repair protein RAD51 homolog 1,CHEMBL2319671,
CHEMBL2316739,5290,nM,5.28,CHEMBL2034807,DNA repair protein RAD51 homolog 1,CHEMBL2319671,
CHEMBL1087180,7250,nM,5.14,CHEMBL614909,SGC-7901,CHEMBL2208493,
CHEMBL1915761,4000,nM,5.4,CHEMBL385,K562,CHEMBL2209137,
CHEMBL1922174,7250,nM,5.14,CHEMBL614909,SGC-7901,CHEMBL2208493,
CHEMBL1922178,7250,nM,5.14,CHEMBL614909,SGC-7901,CHEMBL2208493,
CHEMBL2205002,7250,nM,5.14,CHEMBL614909,SGC-7901,CHEMBL2208493,
CHEMBL2337218,53150,nM,4.27,CHEMBL614822,NIH3T3,CHEMBL2343222,
CHEMBL2337219,55700,nM,4.25,CHEMBL614822,NIH3T3,CHEMBL2343222,
CHEMBL2337609,66690,nM,4.18,CHEMBL614822,NIH3T3,CHEMBL2343222,
CHEMBL2337610,78300,nM,4.11,CHEMBL614822,NIH3T3,CHEMBL2343222,
CHEMBL2337611,71310,nM,4.15,CHEMBL614822,NIH3T3,CHEMBL2343222,
CHEMBL2337612,75120,nM,4.12,CHEMBL614822,NIH3T3,CHEMBL2343222,
CHEMBL2337614,83900,nM,4.08,CHEMBL614822,NIH3T3,CHEMBL2343222,
CHEMBL2337615,80690,nM,4.09,CHEMBL614822,NIH3T3,CHEMBL2343222,
CHEMBL2337616,77960,nM,4.11,CHEMBL614822,NIH3T3,CHEMBL2343222,
CHEMBL2337619,38900,nM,4.41,CHEMBL614822,NIH3T3,CHEMBL2343222,
CHEMBL2337623,79960,nM,4.1,CHEMBL614822,NIH3T3,CHEMBL2343222,
CHEMBL2337627,78300,nM,4.11,CHEMBL614822,NIH3T3,CHEMBL2343222,
CHEMBL233929,6100,nM,5.21,CHEMBL612557,RAW264.7,CHEMBL4417197,
CHEMBL248095,56200,nM,4.25,CHEMBL612853,Entamoeba histolytica,CHEMBL968124,
CHEMBL255489,1000,nM,6,CHEMBL2364162,Tumor necrosis factor ligand superfamily member 11,CHEMBL4671306,
CHEMBL453981,7250,nM,5.14,CHEMBL614909,SGC-7901,CHEMBL2208493,
CHEMBL487017,4860,nM,5.31,CHEMBL367,Leishmania donovani,CHEMBL4263546,
CHEMBL602899,7250,nM,5.14,CHEMBL614909,SGC-7901,CHEMBL2208493,
CHEMBL8260,15,nM,7.82,CHEMBL2741,Arachidonate 12-lipoxygenase,CHEMBL615252,
