chembl_id,ic50_value,units,pchembl_value,target_chembl_id,target_name,assay_chembl_id,activity_comment
CHEMBL523927,12300,nM,4.91,CHEMBL4625,Apoptosis regulator Bcl-X,CHEMBL1002036,
CHEMBL525418,9000,nM,5.05,CHEMBL392,A549,CHEMBL1002037,
CHEMBL538412,2000,nM,5.7,CHEMBL398,KB,CHEMBL1051616,
CHEMBL538895,8000,nM,5.1,CHEMBL394,HCT-116,CHEMBL1051617,
CHEMBL539481,110,nM,6.96,CHEMBL4625,Apoptosis regulator Bcl-X,CHEMBL1031062,
CHEMBL539908,11600,nM,4.94,CHEMBL398,KB,CHEMBL1051616,
CHEMBL541004,710,nM,6.15,CHEMBL4860,Apoptosis regulator Bcl-2,CHEMBL1031851,
CHEMBL541427,350,nM,6.46,CHEMBL4361,Induced myeloid leukemia cell differentiation protein Mcl-1,CHEMBL1031852,
CHEMBL541496,120,nM,6.92,CHEMBL4625,Apoptosis regulator Bcl-X,CHEMBL1031062,
CHEMBL542004,400,nM,6.4,CHEMBL394,HCT-116,CHEMBL1051617,
CHEMBL551288,1700,nM,5.77,CHEMBL4625,Apoptosis regulator Bcl-X,CHEMBL1031062,
CHEMBL552287,150,nM,6.82,CHEMBL4860,Apoptosis regulator Bcl-2,CHEMBL1031851,
CHEMBL552716,1100,nM,5.96,CHEMBL394,HCT-116,CHEMBL1051617,
CHEMBL552717,11400,nM,4.94,CHEMBL394,HCT-116,CHEMBL1051617,
CHEMBL552735,410,nM,6.39,CHEMBL4625,Apoptosis regulator Bcl-X,CHEMBL1031062,
CHEMBL553474,3200,nM,5.5,CHEMBL4361,Induced myeloid leukemia cell differentiation protein Mcl-1,CHEMBL1031852,
CHEMBL553855,300,nM,6.52,CHEMBL394,HCT-116,CHEMBL1051617,
CHEMBL554122,5800,nM,5.24,CHEMBL394,HCT-116,CHEMBL1051617,
CHEMBL554545,700,nM,6.16,CHEMBL4860,Apoptosis regulator Bcl-2,CHEMBL1031851,
CHEMBL555367,11400,nM,4.94,CHEMBL394,HCT-116,CHEMBL1051617,
CHEMBL556082,4000,nM,5.4,CHEMBL398,KB,CHEMBL1057819,
CHEMBL557340,4700,nM,5.33,CHEMBL398,KB,CHEMBL1051616,
CHEMBL55814,3600,nM,5.44,CHEMBL2558,Death-associated protein kinase 1,CHEMBL5318937,
CHEMBL558462,1700,nM,5.77,CHEMBL394,HCT-116,CHEMBL1051617,
CHEMBL560141,14730,nM,4.83,CHEMBL613508,DU-145,CHEMBL1055743,
CHEMBL560651,400,nM,6.4,CHEMBL394,HCT-116,CHEMBL1051617,
CHEMBL561602,1200,nM,5.92,CHEMBL397,Jurkat,CHEMBL1054990,
CHEMBL595134,35,nM,7.46,CHEMBL4361,Induced myeloid leukemia cell differentiation protein Mcl-1,CHEMBL1677786,
CHEMBL602758,5100,nM,5.29,CHEMBL4625,Apoptosis regulator Bcl-X,CHEMBL1072273,
CHEMBL2107358,0.3552,nM,9.45,CHEMBL1075577,SK-MEL-30,CHEMBL2363649,
CHEMBL1336889,33000,nM,4.48,CHEMBL1250348,Myc proto-oncogene protein,CHEMBL2318156,
CHEMBL1371773,41500,nM,4.38,CHEMBL2146298,Protein skinhead-1,CHEMBL2114714,active
CHEMBL2312748,97000,nM,4.01,CHEMBL4685,Indoleamine 2,,
CHEMBL2312756,8700,nM,5.06,CHEMBL612518,LNCaP,CHEMBL4383534,
CHEMBL112,2300,nM,5.64,CHEMBL2406892,Myoglobin,CHEMBL2411426,
CHEMBL1230189,29400,nM,4.53,CHEMBL5747,CREB-binding protein,CHEMBL3790857,
CHEMBL1232461,20,nM,7.7,CHEMBL1163125,Bromodomain-containing protein 4,CHEMBL4236638,
CHEMBL12543,2660000,nM,2.58,CHEMBL1163125,Bromodomain-containing protein 4,CHEMBL4316274,
CHEMBL1738777,28000,nM,4.55,CHEMBL1293289,Bromodomain-containing protein 2,CHEMBL2439862,
CHEMBL1738926,15.5,nM,7.81,CHEMBL1163125,Bromodomain-containing protein 4,CHEMBL1958573,
CHEMBL1828978,3000,nM,5.52,CHEMBL1293289,Bromodomain-containing protein 2,CHEMBL1833000,
CHEMBL1828979,800,nM,6.1,CHEMBL1163125,Bromodomain-containing protein 4,CHEMBL2351097,
CHEMBL1828980,6000,nM,5.22,CHEMBL1293289,Bromodomain-containing protein 2,CHEMBL1832995,
CHEMBL1828981,7400,nM,5.13,CHEMBL1293289,Bromodomain-containing protein 2,CHEMBL1832995,
CHEMBL1828982,4200,nM,5.38,CHEMBL1293289,Bromodomain-containing protein 2,CHEMBL1832995,
CHEMBL1828983,3300,nM,5.48,CHEMBL1293289,Bromodomain-containing protein 2,CHEMBL1832995,
CHEMBL1828984,28200,nM,4.55,CHEMBL1293289,Bromodomain-containing protein 2,CHEMBL1832995,
CHEMBL1828985,2300,nM,5.64,CHEMBL1293289,Bromodomain-containing protein 2,CHEMBL1832995,
CHEMBL1828986,1600,nM,5.8,CHEMBL1293289,Bromodomain-containing protein 2,CHEMBL1832995,
CHEMBL1950956,1500,nM,5.82,CHEMBL3108642,Bromodomain adjacent to zinc finger domain protein 2A,CHEMBL3772735,
CHEMBL1950957,30000,nM,4.52,CHEMBL1293289,Bromodomain-containing protein 2,CHEMBL1953106,
CHEMBL1957266,3.9,nM,8.41,CHEMBL1163125,Bromodomain-containing protein 4,CHEMBL4710395,
CHEMBL2153434,15.5,nM,7.81,CHEMBL1163125,Bromodomain-containing protein 4,CHEMBL2156119,
CHEMBL2179387,41,nM,7.39,CHEMBL1163125,Bromodomain-containing protein 4,CHEMBL5147024,
CHEMBL2181701,7400,nM,5.13,CHEMBL1163125,Bromodomain-containing protein 4,CHEMBL2182558,
CHEMBL2181702,1500,nM,5.82,CHEMBL1795186,Bromodomain-containing protein 3,CHEMBL2182559,
CHEMBL2181703,700,nM,6.16,CHEMBL1795186,Bromodomain-containing protein 3,CHEMBL2182559,
CHEMBL2181704,700,nM,6.16,CHEMBL1795186,Bromodomain-containing protein 3,CHEMBL2182559,
CHEMBL2181705,1100,nM,5.96,CHEMBL1795186,Bromodomain-containing protein 3,CHEMBL2182559,
CHEMBL2181706,800,nM,6.1,CHEMBL1795186,Bromodomain-containing protein 3,CHEMBL2182559,
CHEMBL2181707,8200,nM,5.09,CHEMBL1795186,Bromodomain-containing protein 3,CHEMBL2182559,
CHEMBL2181708,11000,nM,4.96,CHEMBL1795186,Bromodomain-containing protein 3,CHEMBL2182559,
CHEMBL2181709,3200,nM,5.5,CHEMBL1795186,Bromodomain-containing protein 3,CHEMBL2182559,
CHEMBL2181710,6500,nM,5.19,CHEMBL1795186,Bromodomain-containing protein 3,CHEMBL2182559,
CHEMBL2181711,11000,nM,4.96,CHEMBL1795186,Bromodomain-containing protein 3,CHEMBL2182559,
CHEMBL2181712,21000,nM,4.68,CHEMBL1795186,Bromodomain-containing protein 3,CHEMBL2182559,
CHEMBL2181713,8400,nM,5.08,CHEMBL1795186,Bromodomain-containing protein 3,CHEMBL2182559,
CHEMBL2181714,9000,nM,5.05,CHEMBL1293289,Bromodomain-containing protein 2,CHEMBL2182560,
CHEMBL2181715,3000,nM,5.52,CHEMBL1795186,Bromodomain-containing protein 3,CHEMBL2182559,
